Symbol,Name,Sector,industry
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APEN,"Apollo Endosurgery, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APRI,"Apricus Biosciences, Inc.",Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ARGS,"Argos Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ARLZ,Aralez Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments
AVIR,"Aviragen Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AVXS,"AveXis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals
BABY,Natus Medical Incorporated,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
BCLI,Brainstorm Cell Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCRX,"BioCryst Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDSI,"BioDelivery Sciences International, Inc.",Health Care,Major Pharmaceuticals
BEAT,"BioTelemetry, Inc.",Health Care,Medical Specialities
BGNE,"BeiGene, Ltd.",Health Care,Major Pharmaceuticals
BIIB,Biogen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOC,"Biocept, Inc.",Health Care,Medical Specialities
BIOL,"Biolase, Inc.",Health Care,Medical/Dental Instruments
BIOP,"Bioptix, Inc",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BIOS,"BioScrip, Inc.",Health Care,Medical/Nursing Services
BIVV,Bioverativ Inc.,Health Care,Major Pharmaceuticals
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BLFS,"BioLife Solutions, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLPH,"Bellerophon Therapeutics, Inc.",Health Care,Major Pharmaceuticals
BLRX,BioLineRx Ltd.,Health Care,Major Pharmaceuticals
BLUE,"bluebird bio, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMRA,"Biomerica, Inc.",Health Care,Medical/Dental Instruments
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BNTC,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals
BNTCW,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals
BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPMC,Blueprint Medicines Corporation,Health Care,Major Pharmaceuticals
BPTH,"Bio-Path Holdings, Inc.",Health Care,Major Pharmaceuticals
BSPM,"Biostar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BSTC,BioSpecifics Technologies Corp,Health Care,Major Pharmaceuticals
BSTG,"Biostage, Inc.",Health Care,Medical/Dental Instruments
BVXV,BiondVax Pharmaceuticals Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BVXVW,BiondVax Pharmaceuticals Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CALA,"Calithera Biosciences, Inc.",Health Care,Major Pharmaceuticals
CAPN,"Capnia, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CAPNW,"Capnia, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CAPR,"Capricor Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CARA,"Cara Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CASC,"Cascadian Therapeutics, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
CASI,"CASI Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CASM,"CAS Medical Systems, Inc.",Health Care,Medical/Dental Instruments
CATB,"Catabasis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CBAY,CymaBay Therapeutics Inc.,Health Care,Major Pharmaceuticals
CBIO,"Catalyst Biosciences, Inc. ",Health Care,Major Pharmaceuticals
CBLI,"Cleveland BioLabs, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
CBMG,"Cellular Biomedicine Group, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CBMX,CombiMatrix Corporation,Health Care,Hospital/Nursing Management
CBMXW,CombiMatrix Corporation,Health Care,Hospital/Nursing Management
CBPO,"China Biologic Products, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCXI,"ChemoCentryx, Inc.",Health Care,Major Pharmaceuticals
CDNA,"CareDx, Inc.",Health Care,Medical Specialities
CDTX,"Cidara Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CELG,Celgene Corporation,Health Care,Major Pharmaceuticals
CELGZ,Celgene Corporation,Health Care,Major Pharmaceuticals
CEMI,"Chembio Diagnostics, Inc.",Health Care,Major Pharmaceuticals
CEMP,"Cempra, Inc.",Health Care,Major Pharmaceuticals
CERC,Cerecor Inc.,Health Care,Major Pharmaceuticals
CERCW,Cerecor Inc.,Health Care,Major Pharmaceuticals
CERCZ,Cerecor Inc.,Health Care,Major Pharmaceuticals
CERS,Cerus Corporation,Health Care,Medical/Dental Instruments
CERU,Cerulean Pharma Inc.,Health Care,Major Pharmaceuticals
CFMS,"ConforMIS, Inc.",Health Care,Industrial Specialties
CFRX,ContraFect Corporation,Health Care,Major Pharmaceuticals
CGEN,Compugen Ltd.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGIX,"Cancer Genetics, Inc.",Health Care,Medical Specialities
CGNT,"Cogentix Medical, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CHEK,Check-Cap Ltd.,Health Care,Medical Electronics
CHEKW,Check-Cap Ltd.,Health Care,Medical Electronics
CHMA,"Chiasma, Inc.",Health Care,Major Pharmaceuticals
CHRS,"Coherus BioSciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLBS,"Caladrius Biosciences, Inc.",Health Care,Hospital/Nursing Management
CLDX,"Celldex Therapeutics, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLLS,Cellectis S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLRB,"Cellectar Biosciences, Inc.",Health Care,Major Pharmaceuticals
CLRBW,"Cellectar Biosciences, Inc.",Health Care,Major Pharmaceuticals
CLRBZ,"Cellectar Biosciences, Inc.",Health Care,Major Pharmaceuticals
CLSD,"Clearside Biomedical, Inc.",Health Care,Major Pharmaceuticals
CLSN,Celsion Corporation,Health Care,Major Pharmaceuticals
CLVS,"Clovis Oncology, Inc.",Health Care,Major Pharmaceuticals
CMRX,"Chimerix, Inc.",Health Care,Major Pharmaceuticals
CNAT,Conatus Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CNCE,"Concert Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CNMD,CONMED Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Major Pharmaceuticals
CORI,"Corium International, Inc.",Health Care,Major Pharmaceuticals
CORT,Corcept Therapeutics Incorporated,Health Care,Major Pharmaceuticals
CPIX,Cumberland Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CPRX,"Catalyst Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Health Care,Major Pharmaceuticals
CRIS,"Curis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRME,Cardiome Pharma Corporation,Health Care,Major Pharmaceuticals
CRSP,CRISPR Therapeutics AG,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRVS,"Corvus Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CSBR,"Champions Oncology, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSII,"Cardiovascular Systems, Inc.",Health Care,Medical/Dental Instruments
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
CTMX,"CytomX Therapeutics, Inc.",Health Care,Major Pharmaceuticals
CTRV,ContraVir Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
CTSO,Cytosorbents Corporation,Health Care,Medical/Dental Instruments
CUR,"Neuralstem, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,"Cutera, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CXRX,Concordia International Corp.,Health Care,Major Pharmaceuticals
CYAD,Celyad SA,Health Care,Major Pharmaceuticals
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYCCP,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYHHZ,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management
CYNO,"Cynosure, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CYTK,"Cytokinetics, Incorporated",Health Care,Major Pharmaceuticals
CYTR,CytRx Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CYTX,Cytori Therapeutics Inc,Health Care,Medical/Dental Instruments
CYTXW,Cytori Therapeutics Inc,Health Care,Medical/Dental Instruments
DBVT,DBV Technologies S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DCTH,"Delcath Systems, Inc.",Health Care,Medical/Dental Instruments
DEPO,"Depomed, Inc.",Health Care,Major Pharmaceuticals
DERM,"Dermira, Inc.",Health Care,Major Pharmaceuticals
DFFN,Diffusion Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DMPI,"DelMar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DMTX,"Dimension Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DPRX,"Dipexium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DRIO,DarioHealth Corp.,Health Care,Medical/Dental Instruments
DRIOW,DarioHealth Corp.,Health Care,Medical/Dental Instruments
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
DRRX,DURECT Corporation,Health Care,Major Pharmaceuticals
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals
DVCR,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management
DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments
DXTR,Dextera Surgical Inc.,Health Care,Medical/Dental Instruments
DYNT,Dynatronics Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals
EBIO,"Eleven Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals
ECYT,"Endocyte, Inc.",Health Care,Major Pharmaceuticals
EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",Health Care,Major Pharmaceuticals
EDIT,"Editas Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EGLT,Egalet Corporation,Health Care,Major Pharmaceuticals
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
EIGR,"Eiger BioPharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ELGX,"Endologix, Inc.",Health Care,Medical/Dental Instruments
ELOS,Syneron Medical Ltd.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ENDP,Endo International plc,Health Care,Major Pharmaceuticals
ENSG,"The Ensign Group, Inc.",Health Care,Hospital/Nursing Management
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ENTL,"Entellus Medical, Inc.",Health Care,Medical/Dental Instruments
EPIX,ESSA Pharma Inc.,Health Care,Major Pharmaceuticals
EPZM,"Epizyme, Inc.",Health Care,Major Pharmaceuticals
ESPR,"Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services
